x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17
5.941352,2.502493,12.487965,13.936147,13.514722,19.532516,1.975858,27.327974,6.358702,31.1371,11.043491,43.134098,18.637903,9.182534,28.355879,2.054478,23.864738,25.340637,17.49852,16.076334,21.13554,31.49114,29.219732,43.018032,33.125011,1.936753,42.890442,12.14195,39.187977,16.941534,31.693613,27.643469,37.851994,33.919636,33.779518,42.933891
9.191302,12.261806,3.735597,1.864144,3.813377,17.81848,12.406439,27.065956,2.091825,38.749554,12.524367,32.858391,17.830751,11.289069,27.315716,3.964556,21.209761,18.027649,27.876694,27.177378,22.978193,35.709885,17.980282,43.074036,33.630104,8.952279,43.509117,1.588451,32.152889,23.076643,42.572121,20.105335,40.225086,33.009525,33.779518,42.933891
10.171933,2.707779,3.454536,13.944286,10.031518,26.809311,1.804129,18.200689,10.914376,31.189808,1.890294,43.344074,19.076576,12.711604,28.355879,2.054478,24.285004,27.722836,17.49852,16.076334,18.764603,37.012894,29.219732,43.018032,42.677177,7.768892,32.115921,3.61192,40.073639,23.120764,31.693613,27.643469,38.75312,31.464928,31.487625,42.916485
8.169566,10.283249,1.709953,2.084945,10.425676,18.189419,1.975858,27.327974,12.524367,32.858391,1.890294,43.344074,27.652706,7.802301,18.282379,1.994142,27.737341,15.820933,20.605438,27.766447,19.080772,41.181896,25.256065,32.072075,43.211639,5.784032,32.427361,10.93313,33.384209,16.771517,43.064682,28.310038,36.321754,42.72298,42.549751,32.023399
1.763011,4.537447,13.587143,11.776792,3.753053,23.646757,13.524116,25.479881,7.92153,39.321175,13.081646,30.778858,28.800842,9.559237,16.065384,2.243372,19.101679,26.02585,28.626997,18.032988,20.205828,33.338856,24.798401,42.799507,34.763386,6.959069,42.890442,12.14195,34.033581,26.925037,42.759945,17.877806,34.674992,41.220528,38.75312,31.464928
11.390743,12.090415,3.735597,1.864144,11.753763,20.107428,1.975858,27.327974,4.785773,32.686493,13.251513,42.918438,27.76314,11.744795,18.282379,1.994142,16.458935,18.028833,27.876694,27.177378,25.256065,32.072075,20.297409,43.038662,34.584412,3.358719,43.480679,13.864746,34.046619,24.263729,42.572121,20.105335,39.9897,35.314121,33.779518,42.933891
12.259684,2.381684,1.874469,9.37048,5.832975,26.81341,12.472424,17.901766,4.785773,32.686493,8.689443,43.25248,16.885044,13.612403,25.844378,2.281411,26.098486,24.00124,17.49852,16.076334,28.07896,35.334248,16.640842,31.621849,32.115921,3.61192,42.108784,10.109876,36.323009,20.224833,43.064682,28.310038,37.851994,33.919636,43.234196,43.125713
8.169566,10.283249,1.709953,2.084945,13.566037,23.538876,1.975858,27.327974,14.050054,38.480762,2.263971,32.400143,24.344593,6.503272,16.885044,13.612403,23.999142,18.386486,18.366882,28.071184,22.978193,35.709885,17.980282,43.074036,32.427361,10.93313,42.682167,3.818233,34.992916,18.20381,43.064682,28.310038,36.52634,31.632645,43.234196,43.125713
3.845291,3.6283,12.461454,10.031267,8.240567,18.31683,3.903447,28.27133,10.030902,33.431572,1.890294,43.344074,25.474852,8.191348,18.282379,1.994142,20.72056,22.016306,27.737341,15.820933,24.089962,40.442314,18.698759,31.997478,37.01273,2.57562,42.890442,12.14195,36.345367,27.437466,39.187977,16.941534,42.066036,38.893009,32.73241,33.488953
11.390743,12.090415,1.763011,4.537447,1.975858,27.327974,12.472424,17.901766,6.079758,38.558216,10.914376,31.189808,26.575932,9.961747,18.282379,1.994142,26.314301,19.496273,16.896635,26.406866,25.256065,32.072075,20.297409,43.038662,33.125011,1.936753,42.890442,12.14195,40.524719,20.905628,31.693613,27.643469,36.321754,42.72298,42.549751,32.023399
